店名,捷運站,地址,官網,wifi 穩定,價格便宜,咖啡好喝,安靜程度,插座,有無限時,有賣單品,有賣正餐,有賣甜點,週一,週三,週二,週五,週六,週四,週日,,
cafe wien,民權西路,台北市中山區撫順街41巷3號,https://www.facebook.com/cafewienTPE/,5,4,5,5,Yes,No,Yes,No,Yes,13:00 - 22:00,13:00 - 22:00,13:00 - 22:00,13:00 - 22:00,13:00 - 22:00,13:00 - 22:00,13:00 - 22:00,,
PAPER ST. Coffee Company,忠孝新生,台北市中正區八德路一段28號1樓,https://www.facebook.com/paperxstreet/?fref=ts,4,4,4.5,4,Yes,No,,,,,,,,,,,,
咖啡鴨(關渡自然園區附設),,台北市北投區關渡路55號,暫無資料,5,3,3,4,Yes,,No,Yes,,,,,,,,,,
達文西咖啡daVinciCoffee,古亭站8號出口，步行6分鐘,台北市中正區和平西路一段77號,https://www.facebook.com/dVcCoffee/,5,3.5,5,5,Yes,No,Yes,No,Yes,12:00 - 20:00,12:00 - 20:00,12:00 - 20:00,12:00 - 20:00,12:00 - 20:00,12:00 - 20:00,12:00 - 20:00,,
LA BAMBINA,,103台北市大同區長安西路182號,暫無資料,4,3,4,4,,,Yes,Yes,Yes,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,,
保安捌肆,捷運大橋頭站,台北市大同區保安街84號,https://www.facebook.com/Boan84/,3,3,2.5,4,,,,,Yes,11:00 - 19:30,11:00 - 19:30,11:00 - 19:30,11:00 - 19:30,11:00 - 19:30,11:00 - 19:30,11:00 - 19:30,,
咖啡小自由libero coffee,"東門站5號出口步6分/公車站''金華國中""''金華大廈""步2分/YouBike""金華公園""站步1分",台北市大安區金華街243巷1號,https://www.facebook.com/LiberoCoffeeBar/?fref=ts,4,3,4,3.5,Yes,,Yes,Yes,Yes,12:00 - 23:00,12:00 - 23:00,12:00 - 23:00,12:00 - 23:00,12:00 - 23:00,12:00 - 23:00,12:00 - 23:00,,
湛盧咖啡 瑞光館,西湖,台北市內湖區瑞光路587號,http://www.zhanlu-coffee.com/,4,2.5,4.5,3,Yes,No,,,,,,,,,,,,
摩根咖啡,,台北市中山區遼寧街115號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
混日子咖啡,,新北市新莊區中和街155巷24弄18號,https://www.facebook.com/FRoomCafe/,5,4,4,3,Yes,No,,Yes,,09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,,
塔吉特信義人文會館,"台北101/世貿站3號出口步11分/公車站''信義國中(莊敬)''步2分/YouBike""台北市災害應變中心""站步2分)",台北市信義區莊敬路423巷1弄2號,暫無資料,5,4,3,4,Yes,,No,No,Yes,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,,
TAV Cafe 藝術村餐坊,善導寺,台北市中正區北平東路7號,https://www.facebook.com/TAV-Cafe-%E8%97%9D%E8%A1%93%E6%9D%91%E9%A4%90%E5%9D%8A-322439244446154/,4,4,3,4,,No,,,,未營業,11:30 - 23:00,11:30 - 23:00,11:30 - 23:00,11:30 - 23:00,11:30 - 23:00,11:30 - 23:00,,
忈人咖啡,市府捷運出口,台北市信義區莊敬路289巷4弄24號,https://www.facebook.com/renrencafe/,5,3,5,4,Yes,No,Yes,,Yes,07:00 - 18:00,07:00 - 18:00,07:00 - 18:00,07:00 - 18:00,07:00 - 18:00,07:00 - 18:00,07:00 - 18:00,,
伯朗咖啡館中山二店,中山,台北市中山區中山北路一段106之1號 (長安西路口),https://www.mrbrown.com.tw/stores/InquiryDetail.aspx?AID=1&ID=4,4,3.5,3,3.5,Yes,No,Yes,Yes,Yes,07:30 - 21:00,07:30 - 21:00,07:30 - 21:00,07:30 - 21:00,08:00 - 20:00,07:30 - 21:00,08:00 - 20:00,,
吃人說夢,,新北市 三峽鎮中山路171號,https://www.facebook.com/%E5%90%83%E4%BA%BA%E8%AA%AA%E5%A4%A2-1435739903155538/,4,3,4,5,,,,,,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,,
書與咖啡,,台北市南港區研究院路二段7-8號,https://goo.gl/q93Us3,3,4,4,4,Yes,No,Yes,Yes,Yes,,,,,,,,,
Firewood cafe,古亭二號出口,台北市中正區同安街20號,暫無資料,5,5,4,3,No,,No,No,Yes,,,,,,,,,
Merci vielle,府中,府中路50號2樓,https://www.facebook.com/mercivielle/,5,3,4,5,Yes,,Yes,No,Yes,13:00 - 22:00,13:00 - 22:00,13:00 - 22:00,13:00 - 22:00,13:00 - 22:00,13:00 - 22:00,13:00 - 22:00,,
庫亞斯咖啡烘焙屋,,台北市中山區北安路621巷35號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
黑湯咖啡,,台北市大同區昌吉街78號,暫無資料,4,3.5,4,4,,,Yes,,,,,,,,,,,
咖啡黑潮 Cafe Kuroshio,"東門站5號出口步9分, 台電大樓站3號出口步12分, 古亭站5號出口步12分/公車站""師大綜合大樓""步2分, ""金華大廈""步4分/YouBike""和平龍泉街口""站步3分, ""金華公園""""台灣師範大學(圖書館)""站步4分",台北市大安區和平東路一段141巷9-1號,https://www.facebook.com/cafe.kuroshio/,4,4,4,4,Yes,No,No,No,Yes,未營業,13:00 - 23:00,13:00 - 23:00,13:00 - 23:00,13:00 - 23:00,13:00 - 23:00,13:00 - 23:00,,
NewMore 牛磨自家咖啡甜點烘焙,機場捷運泰山站,新北市泰山區仁德路51號,https://www.facebook.com/NewMore51/,5,4,5,4,Yes,No,Yes,Yes,Yes,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,,
彭彭咖啡商行,,新北市三重區捷運路19巷23號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
Out of office 不在辦公室,市政府站,台北市忠孝東路五段之17號之3B1,暫無資料,5,3.5,4.5,4.5,Yes,No,Yes,Yes,Yes,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,,
Caffè Le MANI 琢手咖啡,,台北市內湖區民權東路六段234-5號,https://www.facebook.com/caffelemani/,4.5,3,4.5,4.5,,,,,,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,10:00 - 20:00,11:00 - 20:00,10:00 - 20:00,,
點亮咖啡 The Lightened,,台北市大安區復興南路二段332號,https://www.facebook.com/pg/thelightened/about/?tab=page_info,5,3,5,4,Yes,,,Yes,Yes,12:00 - 21:30,12:00 - 21:30,12:00 - 21:30,12:00 - 21:30,12:00 - 21:30,12:00 - 21:30,12:00 - 21:30,,
沒有特別計畫cafe,,"New Taipei City, Tamsui District, 中山北路一段207巷37弄1號",https://www.facebook.com/nospecialplan/,5,4,4,3,Yes,Yes,Yes,No,Yes,13:00 - 21:00,13:00 - 21:00,13:00 - 21:00,13:00 - 21:00,13:00 - 21:00,13:00 - 21:00,13:00 - 21:00,,
Geesaa咖啡體驗館 三創店,,台北市中正區市民大道三段2號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
Beans & Coffee,,台北市大同區承德路三段136號,www.beansandcoffee.com.tw,5,4,5,3,Yes,No,Yes,No,Yes,07:00 - 19:00,07:00 - 19:00,07:00 - 19:00,07:00 - 19:00,09:00 - 19:00,07:00 - 19:00,09:00 - 19:00,,
SoulOut Showroom Cafe 索奧咖啡,中山,台北市中山區中山北路二段26巷29號,https://www.facebook.com/SoulOut.tw,4,4,3,4,,,No,Yes,,,,,,,,,,
nonni cafe自然幸福咖啡,,臺北市信義區景雲街22-1號,https://www.facebook.com/nonnicafe/,5,5,5,5,Yes,,Yes,No,No,10:00 - 18:30,10:00 - 18:30,10:00 - 18:30,10:00 - 18:30,10:00 - 18:30,10:00 - 18:30,10:00 - 18:30,,
Cans Coffee 罐頭珈琲,,台北市中山區中原街4號,暫無資料,4,3.5,4,4,No,,Yes,No,No,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,13:00 - 18:00,11:00 - 19:00,未營業,,
有點品食,市政府,台北市信義區松隆路9巷32號,Facebook.com/alittletastetw,4,3.5,4,4,Yes,No,No,Yes,Yes,未營業,10:30 - 19:00,10:30 - 19:00,10:30 - 19:00,10:30 - 19:00,10:30 - 19:00,10:30 - 19:00,,
山波,,新北市淡水區新民街180巷7弄43號,暫無資料,0,4,4,5,Yes,No,No,No,Yes,13:00 - 19:00,13:00 - 19:00,13:00 - 19:00,13:00 - 19:00,13:00 - 19:00,13:00 - 19:00,13:00 - 19:00,,
divadlo 捷克公寓,,台北市信義區崇德街81巷6號,https://www.facebook.com/divadlotaipei/,4,3,3,4,No,,Yes,Yes,Yes,18:00 - 00:00,18:00 - 00:00,18:00 - 00:00,18:00 - 00:00,18:00 - 00:00,18:00 - 00:00,18:00 - 00:00,,
WellMore維摩甜點,,台北市民生東路三段113巷25弄4號,暫無資料,5,3,4,4,Yes,,No,No,Yes,12:00 - 20:00,12:00 - 20:00,12:00 - 20:00,12:00 - 20:00,12:00 - 20:00,未營業,12:00 - 20:00,,
大人的甜點,永安市場,新北市永和區安樂路62號,https://www.facebook.com/maturedsweet/,4,3,4,3,,,,,,13:00 - 21:00,13:00 - 21:00,未營業,13:00 - 22:00,13:00 - 22:00,13:00 - 21:00,13:00 - 21:00,,
豆咖啡 Bean Cafe,,台北市北投區稻香路79之2號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
露邸斯海姆,,115台北市南港區研究院路一段59號,暫無資料,5,2,4,5,Yes,No,Yes,Yes,Yes,,,,,,,,,
這間咖啡,"大安站4號出口步3分/公車站""大安高工""步2分, ''捷運大安站(信義)''步4分/YouBike""捷運大安站""站、''復興南路二段128巷口''站步5分",台北市大安區信義路四段30巷39號,https://www.facebook.com/Zhejiancafe/,5,4,4,3,Yes,No,Yes,Yes,Yes,未營業,14:00 - 00:00,14:00 - 00:00,14:00 - 00:00,12:00 - 00:00,14:00 - 00:00,12:00 - 00:00,,
Jardin Z芝山園咖啡,芝山站,台北市士林區雨聲街63號,https://www.facebook.com/Jardin-Z%E8%8A%9D%E5%B1%B1%E5%9C%92%E5%92%96%E5%95%A1-577526245718869/,3.5,5,4.5,4,Yes,No,,Yes,Yes,未營業,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 21:00,09:00 - 19:00,09:00 - 21:00,,
In Natural Coffee 陽光夏,,台北市中正區衡陽路15號,暫無資料,4,5,5,4,No,,Yes,No,No,,,,,,,,,
Coffto 咖兔現烘咖啡館,,115台北市南港區興華路8號,https://www.facebook.com/Coffto/,5,4,4,3,Yes,No,Yes,No,No,07:30 - 19:30,07:30 - 19:30,07:30 - 19:30,07:30 - 19:30,08:30 - 19:30,07:30 - 19:30,08:30 - 19:30,,
wow cafe',,新北市深坑區昇高坑路30號,https://www.facebook.com/wowcafe.tw/,4,4,4,3,No,,No,Yes,Yes,未營業,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,07:00 - 21:00,11:00 - 21:00,07:00 - 21:00,,
石尚撒哈拉店(駱駝區),,臺北市文山區新光路二段30號,http://web.shishang.com.tw/index.php/2015-05-21-07-53-39/2015-05-21-07-59-03,5,3.5,5,4,,,Yes,,,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,,
雨想說 咖啡 民藝,,103台北市大同區迪化街一段292號,暫無資料,4,3.5,4,4,,,Yes,,Yes,11:00 - 18:00,11:00 - 18:00,11:00 - 18:00,11:00 - 18:00,11:00 - 18:00,11:00 - 18:00,11:00 - 18:00,,
稜角室,,新北市板橋區光武街8號,https://www.facebook.com/angleandcorner/,5,4,3.5,2.5,Yes,No,Yes,,Yes,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 17:00,09:00 - 17:00,09:00 - 21:00,09:00 - 17:00,,
Light & Cafe,,台北市內湖區行愛路77巷65號1樓,https://m.facebook.com/Light-Cafe-咖啡館-1062663737251921/?ref=m_notif&notif_t=page_post_reaction&__tn__=%2Cg&refsrc=https%3A%2F%2Fm.facebook.com%2Flogin%2Fdevice-based%2Fpassword%2F%3Fref%3Dm_notif&_rdr#!/Light-Cafe-咖啡館-1062663737251921/,0,5,5,5,No,No,No,Yes,No,10:00 - 17:00,10:00 - 17:00,10:00 - 17:00,10:00 - 17:00,未營業,10:00 - 17:00,未營業,,
草帽烘豆坊,板橋,新北市板橋區板新路149號,https://www.facebook.com/luffycafe,3.5,4,5,4,Yes,No,Yes,No,Yes,12:00 - 21:00,12:00 - 21:00,未營業,12:00 - 21:00,13:00 - 21:00,12:00 - 21:00,13:00 - 21:00,,
享咖啡,忠孝敦化站,台北市大安區仁愛路四段71巷11號,https://www.facebook.com/enjoycofe/,4,5,5,5,No,No,Yes,No,No,07:30 - 19:00,07:30 - 19:00,07:30 - 19:00,07:30 - 19:00,08:30 - 17:00,07:30 - 19:00,08:30 - 17:00,,
Fujin Tree 華山店,忠孝新生站,台北市中正區八德路一段1號 中1A,https://www.facebook.com/fujintree353cafe/,1,3,5,3,No,No,Yes,No,Yes,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,,
呆待咖啡 DD coffee,龍山寺捷運站（藍線） 萬華火車站,台北市萬華區西園路一段282巷6號,https://m.facebook.com/ddcoffee2017/,5,4.5,5,5,Yes,No,Yes,No,No,11:00 - 18:00,11:00 - 18:00,未營業,11:00 - 18:00,11:00 - 19:00,11:00 - 18:00,11:00 - 19:00,,
Beutii Kitchen,,台北市中山區市民大道三段2號4樓,暫無資料,4,3.5,4,4,,,Yes,,,,,,,,,,,
聞山咖啡 永春有貓店,永春,台北市信義區忠孝東路五段372巷27弄73號-1,https://www.facebook.com/wenshancats/,5,3,4,5,Yes,No,Yes,No,Yes,13:00 - 22:00,13:00 - 22:00,13:00 - 22:00,13:00 - 22:00,13:00 - 22:00,13:00 - 22:00,13:00 - 22:00,,
馬里咖啡,,新北市樹林區中興街2號,暫無資料,4,3.5,4,4,Yes,No,Yes,Yes,Yes,,,,,,,,,
豆研咖啡館beans lab,科技大樓捷運站,臺北市大安區辛亥路二段171巷6弄6號,http://www.facebook.com/beanslabcoffee,5,5,5,5,Yes,,Yes,,Yes,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,未營業,,
5sensescafe-萬芳店,萬芳,台北市文山區興隆路三段112巷2弄25號,https://www.facebook.com/5senseswanfang/,5,3,4,4,Yes,No,,Yes,Yes,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,,
腦咖啡,,台北市南港區昆陽街58號,暫無資料,4,5,5,3,,,,,,,,,,,,,,
艾斯糖 S Don Coffee,忠孝新生站,台北市大安區新生南路一段97巷13號,https://www.facebook.com/sdon.cafe/,4,4,5,5,Yes,No,Yes,Yes,Yes,11:30 - 18:30,11:30 - 18:30,11:30 - 18:30,11:30 - 18:30,11:30 - 18:30,11:30 - 18:30,11:30 - 18:30,,
木木商號【Moon Moon Coffee】,,新北市板橋區三民路二段62號,https://www.facebook.com/mu2coffee/,5,5,5,5,Yes,No,Yes,No,Yes,12:00 - 20:00,12:00 - 20:00,12:00 - 20:00,未營業,12:00 - 20:00,12:00 - 20:00,12:00 - 20:00,,
天使熱愛的生活,淡水站,新北市淡水區中正路233-1號,https://www.facebook.com/LaVieReveeDesAnges/,4,3,5,5,Yes,No,,No,,13:00 - 00:00,13:00 - 00:00,13:00 - 00:00,13:00 - 00:00,13:00 - 00:00,13:00 - 00:00,13:00 - 00:00,,
旺來咖啡,,105台北市松山區南京東路三段335巷13-1號,https://www.facebook.com/wonlaicoffee/?fref=ts,4,4,5,3,No,No,No,Yes,Yes,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,未營業,,
三隻貓頭鷹3owls c＠fe,科技大樓,106台北市大安區和平東路二段96巷15弄38號,https://www.facebook.com/pg/%E4%B8%89%E9%9A%BB%E8%B2%93%E9%A0%AD%E9%B7%B93owls-cfe-1595326360793953/about/?ref=page_internal,5,3,3,3,Yes,Yes,Yes,Yes,Yes,08:30 - 21:30,08:30 - 21:30,08:30 - 21:30,08:30 - 21:30,08:30 - 21:30,08:30 - 21:30,08:30 - 21:30,,
Once Again Cafe 再來咖啡,大坪林站,新北市新店區北新路三段105巷11之1號,https://www.facebook.com/onceagaincafe/,4,4,4,3,Yes,,No,Yes,Yes,07:30 - 19:00,07:30 - 19:00,07:30 - 19:00,07:30 - 19:00,07:30 - 19:00,07:30 - 19:00,07:30 - 19:00,,
Angels Coffee,,台北市大同區華陰街81號,https://www.facebook.com/pg/angelscoffee.tw/about/,1,5,5,1,No,No,Yes,Yes,No,,,,,,,,,
Blue Hydrangea,,新北市淡水區中正東路二段88巷39號,https://www.facebook.com/blue.hydrangea.cafe/,5,4,5,4,Yes,No,No,No,No,11:00 - 19:00,未營業,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,,
四維咖啡商號,新埔,新北市板橋區四維路104號,https://www.facebook.com/cafe4way/,4.5,3.5,4.5,4.5,Yes,,Yes,Yes,Yes,10:00 - 18:00,10:00 - 18:00,未營業,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,,
獅王咖啡 美麗華店,,台北市中山區敬業三路20號B1,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
書屋花甲,,台北市中正區中華路二段307巷42號,https://www.facebook.com/housebook60/,5,3,5,4,Yes,No,Yes,No,Yes,13:30 - 22:30,13:30 - 22:30,13:30 - 22:30,13:30 - 22:30,09:30 - 22:30,13:30 - 22:30,09:30 - 22:30,,
初聲咖啡店 truesound,西門,台北市中正區衡陽路84巷3號,https://www.facebook.com/truesound.tw/,0,3,5,5,Yes,No,Yes,No,Yes,11:00 - 20:00,11:00 - 20:00,未營業,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,,
Cafe chat 04,,台灣台北市大同區蘭州街14號,https://www.facebook.com/CafeChatLeopard/photos/a.258380740856029.76117.219492518078185/1273171762710250/?type=3,4,5,4,4,No,No,Yes,Yes,Yes,未營業,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,未營業,未營業,未營業,,
豐鼎咖啡商號,"新埔站4號出口步14分/公車站''雙王里''步3分/YouBike""永豐公園""站前",新北市板橋區永豐街215號,https://www.facebook.com/phongdingcafe/,5,5,5,5,No,No,Yes,No,No,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,,
開心路輕食吧,,台北市北投區雙全街38號,暫無資料,5,5,4,4,Yes,,Yes,Yes,Yes,,,,,,,,,
201 café restaurant,,108台北市萬華區漢中街201號,暫無資料,5,3.5,4,3,,,Yes,Yes,Yes,,,,,,,,,
Elephant Machine,,台北市永康街37巷5號,https://www.instagram.com/elephantmachine/,5,3,4,4,Yes,No,Yes,No,Yes,,,,,,,,,
yolo's cafe 長安建國店,,台北市中山區長安東路二段129巷9號,暫無資料,5,5,5,5,Yes,No,Yes,Yes,Yes,07:00 - 19:00,07:00 - 19:00,07:00 - 19:00,07:00 - 19:00,07:00 - 19:00,07:00 - 19:00,未營業,,
M.E.kaffa,七張 大坪林,新店區民族路12號,https://m.facebook.com/M.E.Kaffa/,5,5,5,5,Yes,No,Yes,No,Yes,11:30 - 22:30,11:30 - 22:30,11:30 - 22:30,11:30 - 22:30,09:00 - 22:30,11:30 - 22:30,09:00 - 22:30,,
Barry & Gabriela's 小酒趴,北門捷運站,台北市大同區南京西路239巷3號,https://www.facebook.com/BarryGabi9pa/,5,4,3.5,4,Yes,,Yes,No,Yes,12:00 - 00:00,12:00 - 00:00,12:00 - 00:00,12:00 - 01:30,12:00 - 01:30,12:00 - 00:00,12:00 - 00:00,,
行旅者驛站,府中,新北市板橋區忠孝路275號,暫無資料,4,3,3.5,4,No,No,,,,,,,,,,,,
當樂咖啡,"板橋站3號出口步7分/公車站""板橋車站(文化路)""步4分/YouBike""捷運板橋站(3號出口)""""國光里(國光路)""站步6分",新北市板橋區光正街40號,https://www.facebook.com/download.cafe/,5,3.5,3.5,3.5,,,Yes,Yes,,未營業,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,,
索引文創,,台北市中山區大直街34巷30號,https://www.facebook.com/%E7%B4%A2%E5%BC%95%E6%96%87%E5%89%B5-188721827941567/,4,4,4,4.5,Yes,No,,,,未營業,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,13:00 - 19:00,11:00 - 19:00,13:00 - 19:00,,
克萊娜咖啡,,10491台灣台北市中山區天祥路45號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
福氣咖啡,,新北市三重區三和路四段290號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
福來得咖啡Fred`s Cafe,台北101/世貿站1號出口步4分,台北市信義區信義路四段413-1號,https://www.facebook.com/fredhuanggoodcafe/,5,4,5,4,Yes,,Yes,Yes,Yes,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,未營業,,
爐鍋咖啡＠小藝埕,"北門站3號出口步8分/公車站""迪化街口(永樂市場)""""南京西寧路口""步2分, ""南京西路口(鈕扣街)""步4分/YouBike""永樂市場""站步1分",台北市大同區迪化街一段32巷1號2樓,https://www.luguocafe.com/pages/artyard-cafe,4,2,4,2,No,,Yes,,Yes,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,,
左撇子日常 Lefty Daily,,新北市汐止區明峰街57號,http://www.facebook.com/leftydaily,5,4,4,5,Yes,,Yes,Yes,Yes,10:00 - 19:00,未營業,未營業,10:00 - 19:00,09:00 - 19:00,10:00 - 19:00,09:00 - 19:00,,
我們,景安站,新北市中和區明義街8號,https://www.facebook.com/wein2017/,4,4,4,5,No,No,Yes,Yes,Yes,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,10:30 - 20:00,11:00 - 20:00,10:30 - 20:00,,
豆咖啡 BEANCAFE 北投店,,台北市北投區豐年路一段49號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
CO77EE,松山/台鐵松山站,台北市南港區市民大道七段7號,https://www.facebook.com/Co77ee-77%E5%92%96%E5%95%A1-954789644564148/,5,4.5,4.5,4.5,Yes,No,,,,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,未營業,,
石尚雨林店(老虎),,臺北市文山區新光路二段30號,暫無資料,5,3,5,3,,No,Yes,,,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,,
田中園咖啡廳，環亞店,,台北市松山區南京東路三段303巷14弄2號,暫無資料,3,2,3,2,Yes,No,Yes,Yes,No,,,,,,,,,
好物Spirit咖啡,,台北市大安區安和路二段189巷17號,https://www.facebook.com/haowuspiritcafe/,4,3,4,4,,,,,,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,,
咖啡行者工作室 coffee seeker studio,,238 樹林區大有路59號,https://www.facebook.com/coffeestoreseekerstudio/,5,4,5,4.5,No,,Yes,Yes,Yes,09:30 - 18:00,09:30 - 18:00,09:30 - 18:00,09:30 - 18:00,09:30 - 18:00,未營業,09:30 - 18:00,,
一步一步來/Kopi Ibrik,"大安站6號出口步7分, 忠孝復興站3號出口步11分/公車站""仁愛敦化路口""步3分, ""仁愛國中""步4分, ""信義敦化路口""""信義大安路口""""和安里""步5分/Youbike""仁愛醫院""站步3分, ""信義敦化路口""站步7分",台北市大安區仁愛路四段48巷23號,https://www.facebook.com/TURKISHCOFFEETAIWAN/,4,3,4,4,No,,Yes,No,No,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,,
艸堂珈琲,,24255新北市新莊區中港路309巷3號,暫無資料,4,3.5,4,4,Yes,No,Yes,No,Yes,10:00 - 20:00,未營業,10:00 - 20:00,10:00 - 20:00,12:00 - 20:00,10:00 - 20:00,12:00 - 20:00,,
Changing Cafe 淺淾,,Highlights info row image 台北市士林區天母北路28巷39之2號,https://www.facebook.com/ChangingCafe/,5,4,5,5,No,No,Yes,No,Yes,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,,
小咖啡 Leo's Cafe,,新北市中和區復興路280巷1弄1號,https://www.facebook.com/Leos-278055258899915/,5,5,5,5,Yes,No,No,No,Yes,10:00 - 19:30,10:00 - 19:30,10:00 - 19:30,10:00 - 19:30,10:00 - 19:30,10:00 - 19:30,10:00 - 19:30,,
天然飲,南京復興站,台北市中山區南京東路三段195號,https://www.facebook.com/NanergeTaiwan/,4,3.5,4,4,No,No,Yes,,No,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,,
路易莎新海直營店,,新北市板橋區雨農路58號,暫無資料,3,4,3,3,,,Yes,,Yes,,,,,,,,,
娂豆自家烘焙精品咖啡,,新北市新店區北新路一段271巷45號,https://zh-tw.facebook.com/redbeencoffee/,5,3.5,5,5,No,,,No,No,未營業,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 21:00,10:00 - 19:00,10:00 - 21:00,,
五咖啡 WOW Coffee,,台北市大同區長安西路198號1樓,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
我思私宅甜點,,台北市士林區忠誠路二段130巷33-1號,暫無資料,4,4.5,3,4,,,,,,,,,,,,,,
伊士曼寧,東門,台北市大安區信義路二段86巷2-1號,https://www.facebook.com/itsmoney86/,3,4,2,2,Yes,No,,,,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,,
光點珈琲時光Spot Café Lumière,中山站,台北市中山區中山北路二段18號1樓,https://www.facebook.com/光點珈琲時光-Spot-Café-Lumière-101601579927911/,3,2,2.5,3,,,Yes,Yes,Yes,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,,
來吧 Cafe,,台北市大安區信義路3段134巷12號,https://www.facebook.com/Lightbarcafe/?ref=bookmarks,5,3,5,3,Yes,,Yes,Yes,Yes,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,,
Quel Café - 克爾‧何等的咖啡,中山國中,台北市松山區民權東路三段140巷2號之1,https://www.facebook.com/QuelCafe/,2,5,4.5,2,No,No,,,,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,10:00 - 17:00,08:00 - 18:00,未營業,,
